ProductID,IssueDescription,DateClaimed,Outcome
P1014,Stopped Working,2024-10-25,Rejected
P1074,Stopped Working,2025-07-30,Rejected
P1031,Overheating,2025-06-02,Rejected
P1046,Battery Drain,2024-07-21,Approved
P1041,Overheating,2023-10-28,Rejected
P1080,Battery Drain,2025-01-28,Approved
P1064,Stopped Working,2023-11-19,Rejected
P1004,Battery Drain,2024-10-18,Rejected
P1072,Overheating,2025-06-11,Pending
P1007,Battery Drain,2025-05-16,Pending
P1086,Stopped Working,2025-07-21,Approved
P1083,Overheating,2024-03-13,Rejected
P1005,Stopped Working,2024-04-30,Rejected
P1008,Overheating,2024-08-03,Pending
P1066,Battery Drain,2025-02-17,Rejected
P1084,Battery Drain,2025-07-04,Pending
P1016,Overheating,2023-09-03,Approved
P1052,Overheating,2025-01-14,Pending
P1071,Battery Drain,2024-06-26,Pending
P1034,Stopped Working,2025-05-11,Rejected
P1074,Stopped Working,2023-09-29,Pending
P1007,Stopped Working,2025-04-29,Pending
P1068,Stopped Working,2024-10-01,Pending
P1069,Stopped Working,2025-04-07,Approved
P1072,Overheating,2023-12-10,Approved
P1039,Battery Drain,2025-08-10,Pending
P1083,Display Flicker,2024-02-22,Approved
P1023,Stopped Working,2024-10-12,Rejected
P1057,Display Flicker,2024-05-08,Approved
P1034,Display Flicker,2025-03-01,Pending
P1045,Overheating,2024-04-28,Pending
P1046,Overheating,2025-08-12,Rejected
P1061,Display Flicker,2024-04-20,Approved
P1017,Overheating,2025-02-21,Approved
P1033,Stopped Working,2024-07-15,Approved
P1013,Stopped Working,2025-04-13,Rejected
P1084,Stopped Working,2024-11-16,Rejected
P1075,Display Flicker,2024-08-22,Pending
P1006,Battery Drain,2024-09-16,Rejected
P1065,Overheating,2024-02-25,Approved
P1095,Battery Drain,2024-03-04,Pending
P1070,Battery Drain,2024-11-03,Pending
P1072,Display Flicker,2024-08-22,Rejected
P1045,Stopped Working,2025-06-11,Pending
P1011,Battery Drain,2024-12-18,Rejected
P1002,Battery Drain,2025-06-01,Approved
P1022,Display Flicker,2025-06-20,Approved
P1054,Stopped Working,2024-03-25,Pending
P1038,Display Flicker,2024-02-19,Approved
P1051,Battery Drain,2024-02-20,Rejected
P1099,Stopped Working,2024-12-30,Pending
P1041,Battery Drain,2024-10-03,Pending
P1023,Overheating,2025-07-18,Pending
P1096,Display Flicker,2024-05-22,Rejected
P1037,Battery Drain,2025-06-24,Approved
P1007,Display Flicker,2024-03-02,Approved
P1079,Display Flicker,2025-03-07,Rejected
P1005,Overheating,2024-06-16,Rejected
P1045,Overheating,2024-10-13,Approved
P1061,Display Flicker,2023-10-29,Rejected
P1044,Battery Drain,2024-01-03,Pending
P1045,Display Flicker,2025-06-30,Approved
P1061,Stopped Working,2025-06-02,Pending
P1043,Battery Drain,2025-01-08,Pending
P1037,Stopped Working,2024-04-06,Rejected
P1016,Overheating,2025-06-06,Approved
P1004,Display Flicker,2023-12-17,Approved
P1078,Battery Drain,2024-08-21,Pending
P1038,Stopped Working,2025-05-13,Pending
P1016,Display Flicker,2025-01-15,Rejected
P1002,Display Flicker,2023-12-28,Rejected
P1029,Overheating,2025-06-15,Approved
P1059,Overheating,2024-09-04,Rejected
P1056,Stopped Working,2024-06-01,Approved
P1055,Stopped Working,2023-09-05,Rejected
P1062,Display Flicker,2025-07-20,Pending
P1077,Overheating,2025-05-03,Rejected
P1085,Display Flicker,2025-05-21,Rejected
P1053,Battery Drain,2024-01-18,Rejected
